DATE,PCE
2017-11-01,13593.7
2017-12-01,13690.9
2018-01-01,13716.5
2018-02-01,13738.4
2018-03-01,13811.8
2018-04-01,13875.8
2018-05-01,13953.7
2018-06-01,13990.1
2018-07-01,14048.3
2018-08-01,14102.2
2018-09-01,14108.3
2018-10-01,14193.8
2018-11-01,14249.7
2018-12-01,14130.8
2019-01-01,14223.7
2019-02-01,14236.1
2019-03-01,14370.0
2019-04-01,14443.2
2019-05-01,14493.0
2019-06-01,14555.8
2019-07-01,14611.9
2019-08-01,14650.9
2019-09-01,14673.2
2019-10-01,14728.5
2019-11-01,14752.8
2019-12-01,14796.3
2020-01-01,14880.5
2020-02-01,14877.4
2020-03-01,13878.5
2020-04-01,12112.1
2020-05-01,13165.4
2020-06-01,14014.6
2020-07-01,14224.7
2020-08-01,14397.2
2020-09-01,14582.7
2020-10-01,14620.6
2020-11-01,14521.6
2020-12-01,14493.7
